NAME,DINING TIME,RATING,REVIEW
Glauco,2024-12-10,5,Another great dinner with amazing food at one of my favorites in Manhattan.
Caleb,2024-12-10,5,Amazing food and an excellent wine selection. The service is outstanding and elevated. Everything was great—can’t wait to come back!
Kang,2024-12-08,5,Great food and service. The best Spanish food that I have. The entree is remarkable. Love to try others next time.
Jack,2024-12-07,5,"Brought our 16 year old daughter here on a birthday trip to NYC. She was blown away, and we loved it again. Each dish looked amazing and was full of perfect flavors. Waiter was top notch and made a perfect wine recommendation."
Joshua,2024-12-07,5,Amazing food.  Great somm.  Insane wine selection.  Fantastic meal overall
Mariana,2024-12-05,5,Espectacular mi restaurante español favorito en NY lo amooooo
Gary,2024-12-04,5,Amazing food and wine selections. Professionally run with everyone (and everything) top notch. Juan Pablo is the best!
Ellen,2024-12-04,5,How do yall get better every year?  Improve on perfection?  Whats the secret??  Love yall!!!
Sahudy,"Dined on December 2, 2024",5,EXCELENTE. LOS FIDEOS CON CHORIZO DIVINOS. EL CHURRASCO SABROSO Y EL PUDIN
Brian,"Dined on December 1, 2024",5,Everything about our dinner was wonderful from the greeting to dessert and all the deliciousness and service in between.
May,"Dined on December 1, 2024",4,"the food was so good but unfortunately I have to give it 3 stars because of the customer service. If this is going to be Michelin guide restaurant, I expect better services. We were driving from Boston & called to see if they extend our table 30 mins later because we were not expecting this much traffic & when we just wanted to CONFIRM if there’s a 24 hr policy, whoever picked up the phone call said “you should’ve done that yesterday” well if I knew traffic was this bad, maybe I should’ve seen the future!! that’s totally my fault for not knowing traffic. When we arrived around 4:34 (4:30 reservation) we had to wait 20 mins for our table, so it’s fair for you guys to tell us when to sit but can’t keep the same energy. Other than that, food was good but just not sure if the customer service was meeting - therefore Casa Ora in Brooklyn is better."
Adriana,"Dined on November 30, 2024",5,The food was delicious and the service was lovely.
Samara,"Dined on November 30, 2024",5,"Amazing food, amazing service. Mussels and meatballs were incredible and creative. Looking forward to going back and trying more things!"
Dan,"Dined on November 30, 2024",3,The food quality has gone down. The goat was dry and the croquettes were not that special. I was bummed as the last time I came it was an incredible Experience
Adam,"Dined on November 27, 2024",5,Unbelievable food and great atmosphere. Great venue for a really cool night out.
Raina,"Dined on November 26, 2024",5,Food was AMAZING but service was painfully slow. We had to signal to our server multiple times.
Mike,"Dined on November 26, 2024",5,"Amazing food, warm and delightful service, bustling atmosphere."
