NAME,DINING TIME,RATING,REVIEW
jonnie,Dined 1 day ago,5,Customer service was great and our waiter was spectacular.
Shalisha,Dined 1 day ago,5,OMG.. there’s just No other restaurant like Brooklyn Chop House. We arrived and though we had to wait to be seated we were told we could sit at the bar and order drinks till then. The food was extremely amazing and cooked to perfection!  Definitely worth flying in from San Francisco for!
Destini,Dined 1 day ago,5,"Great food! Great server, Emilio was a good host. Will absolutely go back again"
Toliglhia,Dined 1 day ago,5,Always a good time at the original BK Chop House. Music was a little too loud but nonetheless I enjoyed.
Melicia,Dined 1 day ago,5,Lovely atmosphere on my birthday weekend must return just for date night
Ritha,Dined 4 days ago,5,"Great experience! Wait staff was amazing. The food was delicious, will certainly come back again."
Arnold,"Dined on December 1, 2024",5,"Great Service, Awesome Atmosphere  Delicious Food Awesome Personnel  Top Shelf!"
Ariel,"Dined on November 30, 2024",5,Very good! Service was amazing and food was incredible.
Klaus,"Dined on November 30, 2024",4,Super schneller Service und nettes Personal. Ambiente ist etwas kühl.
Robin,"Dined on November 30, 2024",5,"A wonderful experience start to finish.  Lovely atmosphere, delicious food, and one of the most memorable waiters ever.  He connected with our party without being intrusive, was efficient and professional.  Great evening!"
remi,"Dined on November 29, 2024",5,"We had a great experience. Alex, our server was so gracious, humorous and accommodating. Ask to sit in Alex’s section!"
Reagan,"Dined on November 28, 2024",2,The service was terrible. The steak was just okay and the lobster was not good at all. Food came out warm but not hot. I thought the food was not worth what we paid.  Probably will not revisit.
Eric,"Dined on November 22, 2024",5,An excellent meal The fliet mignon and lobster was fantastic The side portions was plenty for 2 people Wine was a bit expensive than the normal
Belle,"Dined on November 22, 2024",5,We had a ball! Perfect from start to finish! It was my 59th birthday!
Chase,"Dined on November 20, 2024",5,"Food was amazing, my second time there will be back again and again"
Gregory,"Dined on November 14, 2024",5,"Third time here & third time I’ve left completely satisfied. From the food to the vibe to the service, everything was top tier, as I’ve come to expect. I’ll definitely continue my patronage of this establishment in both locations."
Collette,"Dined on November 10, 2024",4,"Fun music and good food. The initial seating was problematic but once we were relocated, our experience improved."
OpenTable Diner,"Dined on November 10, 2024",5,"Alex was the best waiter ,suggested The Duck and it was outstanding"
Trevor,"Dined on November 10, 2024",5,Incredible Service. Food was hot and full of flavor. 10/10
Duaine,"Dined on November 10, 2024",5,My wife and I been going to BCH for many years now. The food and the service is always on point!!! Michael our server was great and took the time to explain everything!!! He kept checking in on us to ensure we had everything we need and had a pleasant personality while serving us. We are definitely going back again!!!
Stephen,"Dined on November 10, 2024",4,Great Food. Service to cost was not there. But staff was very nice and kind. Would go back for sure.
ANTHONY,"Dined on November 9, 2024",5,One of my favorite places in the city always a great meal always a great time lots of great people never disappoints
Marc,"Dined on November 7, 2024",4,"Pretty good overall.  Duck tacos, lobster wontons, and lettuce wedge were tasty. Ribeye steak was tender and perfectly cooked.  Needed more salt. They brought out course sea salt, which made it great.  Service was good but a bit less than professional"
PriscaD,"Dined on November 3, 2024",5,Great option for a Saturday night
Reginald,"Dined on October 26, 2024",5,Steak was cooked to perfection!  The duck tacos were marvelous
Matthew,"Dined on October 26, 2024",5,The New York strip was extremely delicious and well prepared.
Jerry,"Dined on October 23, 2024",5,"Great service and great staff,, stood was amazing and the drinks were on point."
Justin,"Dined on October 21, 2024",1,Cold food. Management told us cold appetizers would be removed and they were not. Steak was like shoe leather. Server couldn’t have helped less.
mike,"Dined on October 19, 2024",5,Beautiful evening as always. I prefer this location over Times Square because of its intimacy. The food is as lovely as the decor. I can’t wait to return.
Jerrin,"Dined on October 14, 2024",5,The food was great and the service was  spectacular. Good ambiance and the musical choice was even better. 10/10 will be back.
Kevonyah,"Dined on October 13, 2024",5,Was able to book a last minute reservation. Food and service was great.
dexter,"Dined on October 13, 2024",5,"Great Experience, highly recommend. The Chicken Wontons, Duck Tacos, and Edamame dumplings were fantastic. Drink menu out of this world, and entrees were on point!"
